,candidate1,candidate2,party1,party2,share1,share2,district
0,Bradley Byrne,Robert Kennedy Jr.,Republican,Democratic,63.1,36.8,AL-01
1,Martha Roby,Tabitha Isner,Republican,Democratic,61.4,38.4,AL-02
2,Mike Rogers,Mallory Hagan,Republican,Democratic,63.7,36.2,AL-03
3,Robert Aderholt,Lee Auman,Republican,Democratic,79.8,20.1,AL-04
4,Mo Brooks,Peter Joffrion,Republican,Democratic,61.0,38.9,AL-05
5,Gary Palmer,Danner Kline,Republican,Democratic,69.2,30.8,AL-06
6,Terri Sewell,Write-ins,Democratic,Other,97.8,2.2,AL-07
7,Don Young,Alyse Galvin,Republican,Other,53.1,46.5,AK-00
8,Tom O'Halleran,Wendy Rogers,Democratic,Republican,53.8,46.1,AZ-01
9,Ann Kirkpatrick,Lea Márquez Peterson,Democratic,Republican,54.7,45.2,AZ-02
10,Raúl Grijalva,Nicolas Pierson,Democratic,Republican,63.9,36.1,AZ-03
11,Paul Gosar,David Brill,Republican,Democratic,68.2,30.5,AZ-04
12,Andy Biggs,Joan Greene,Republican,Democratic,59.4,40.6,AZ-05
13,David Schweikert,Anita Malik,Republican,Democratic,55.2,44.8,AZ-06
14,Ruben Gallego,Gary Swing,Democratic,Other,85.6,14.2,AZ-07
15,Greg Stanton,Steve Ferrara,Democratic,Republican,61.1,38.9,AZ-09
16,Rick Crawford,Chintan Desai,Republican,Democratic,68.9,28.8,AR-01
17,French Hill,Clarke Tucker,Republican,Democratic,52.1,45.8,AR-02
18,Steve Womack,Joshua Mahony,Republican,Democratic,64.7,32.6,AR-03
19,Bruce Westerman,Hayden Shamel,Republican,Democratic,66.7,31.2,AR-04
20,Doug LaMalfa,Audrey Denney,Republican,Democratic,54.9,45.1,CA-01
21,Josh Harder,Jeff Denham,Democratic,Republican,52.3,47.7,CA-10
22,Mark DeSaulnier,John Fitzgerald,Democratic,Republican,74.1,25.9,CA-11
23,Nancy Pelosi,Lisa Remmer,Democratic,Republican,86.8,13.2,CA-12
24,Barbara Lee,Laura Wells,Democratic,Other,88.4,11.6,CA-13
25,Jackie Speier,Cristina Osmeña,Democratic,Republican,79.2,20.8,CA-14
26,Eric Swalwell,Rudy Peters,Democratic,Republican,73.0,27.0,CA-15
27,Jim Costa,Elizabeth Heng,Democratic,Republican,57.5,42.5,CA-16
28,Ro Khanna,Ron Cohen,Democratic,Republican,75.3,24.7,CA-17
29,Anna Eshoo,Christine Russell,Democratic,Republican,74.5,25.5,CA-18
30,Zoe Lofgren,Justin James Aguilera,Democratic,Republican,73.8,26.2,CA-19
31,Jared Huffman,Dale K. Mensing,Democratic,Republican,77.0,23.0,CA-02
32,Jimmy Panetta,Ronald Paul Kabat,Democratic,Other,81.4,18.6,CA-20
33,TJ Cox,David Valadao,Democratic,Republican,50.4,49.6,CA-21
34,Devin Nunes,Andrew Janz,Republican,Democratic,52.8,47.2,CA-22
35,Kevin McCarthy,Tatiana Matta,Republican,Democratic,63.7,36.3,CA-23
36,Salud Carbajal,Justin Fareed,Democratic,Republican,58.6,41.4,CA-24
37,Katie Hill,Steve Knight,Democratic,Republican,54.4,45.6,CA-25
